BASIN,CY,YYYYMMDDHH,TECHNUM/MIN,TECH,TAU,LATN/S,LONE/W,VMAX,MSLP,TY,RAD,WINDCODE,RAD1,RAD2,RAD3,RAD4,POUTER,ROUTER,RMW,GUSTS,EYE,SUBREGION,MAXSEAS,INITIALS,DIR,SPEED,STORMNAME,DEPTH,SEAS,SEASCODE,SEAS1,SEAS2,SEAS3,SEAS4,USERDEFINED,USERDATA
EP,2,2025060618,1,CARQ,-24,103N,942W,25,0,DB,34,AAA,0,0,0,0,0.0,0.0,0.0,0.0,0.0,E,0.0,X,0.0,0.0,INVEST,,,,,,,,,
EP,2,2025060618,1,CARQ,-18,105N,949W,25,0,DB,34,AAA,0,0,0,0,0.0,0.0,0.0,0.0,0.0,E,0.0,X,0.0,0.0,INVEST,,,,,,,,,
EP,2,2025060618,1,CARQ,-12,106N,956W,25,0,DB,34,AAA,0,0,0,0,0.0,0.0,0.0,0.0,0.0,E,0.0,X,282.0,7.0,INVEST,,,,,,,,,
EP,2,2025060618,1,CARQ,-6,108N,963W,25,0,DB,34,AAA,0,0,0,0,0.0,0.0,0.0,0.0,0.0,E,0.0,X,0.0,0.0,INVEST,,,,,,,,,
EP,2,2025060618,1,CARQ,0,110N,970W,30,1008,DB,34,NEQ,0,0,0,0,1010.0,200.0,180.0,0.0,0.0,E,0.0,X,285.0,7.0,INVEST,S,,,,,,,,
EP,2,2025060618,1,CARQ,0,110N,970W,30,1008,DB,50,NEQ,0,0,0,0,1010.0,200.0,180.0,0.0,0.0,E,0.0,X,285.0,7.0,INVEST,S,,,,,,,,
EP,2,2025060618,1,CARQ,0,110N,970W,30,1008,DB,64,NEQ,0,0,0,0,1010.0,200.0,180.0,0.0,0.0,E,0.0,X,285.0,7.0,INVEST,S,,,,,,,,
EP,2,2025060618,3,AC00,0,115N,961W,24,1009,XX,34,NEQ,0,0,0,0,,,,,,,,,,,,,,,,,,,,
EP,2,2025060618,3,AC00,6,124N,967W,27,1006,XX,34,NEQ,0,0,0,0,,,,,,,,,,,,,,,,,,,,
EP,2,2025060618,3,AC00,12,131N,982W,34,1008,XX,34,NEQ,0,0,0,0,,,,,,,,,,,,,,,,,,,,
