AL, 99, 2024111218, 03, AC00, 138, 162N,  841W,  73,  973, XX,  34, NEQ,  141,  126,   83,  114, 
AL, 99, 2024111218, 03, AC00, 138, 162N,  841W,  73,  973, XX,  50, NEQ,   81,   74,    0,   56, 
AL, 99, 2024111218, 03, AC00, 138, 162N,  841W,  73,  973, XX,  64, NEQ,   47,   36,    0,    0, 
AL, 99, 2024111218, 03, AC00, 144, 170N,  850W,  59,  977, XX,  34, NEQ,  124,  118,  105,  109, 
AL, 99, 2024111218, 03, AC00, 144, 170N,  850W,  59,  977, XX,  50, NEQ,   86,   64,    0,   38, 
AL, 99, 2024111218, 03, AC00, 150, 180N,  857W,  58,  982, XX,  34, NEQ,  127,  115,  117,  101, 
AL, 99, 2024111218, 03, AC00, 150, 180N,  857W,  58,  982, XX,  50, NEQ,   77,   76,    0,    0, 
AL, 99, 2024111218, 03, AC00, 156, 192N,  864W,  56,  982, XX,  34, NEQ,  147,  119,  102,   85, 
AL, 99, 2024111218, 03, AC00, 156, 192N,  864W,  56,  982, XX,  50, NEQ,   84,   82,    0,   54, 
AL, 99, 2024111218, 03, AC00, 162, 206N,  871W,  55,  982, XX,  34, NEQ,  133,  126,   68,   90, 
AL, 99, 2024111218, 03, AC00, 162, 206N,  871W,  55,  982, XX,  50, NEQ,   80,   57,    0,    0, 
AL, 99, 2024111218, 03, AC00, 168, 215N,  875W,  61,  984, XX,  34, NEQ,  130,  126,    0,   98, 
AL, 99, 2024111218, 03, AC00, 168, 215N,  875W,  61,  984, XX,  50, NEQ,   85,   81,    0,    0, 
AL, 99, 2024111218, 03, AC00, 174, 227N,  874W,  58,  983, XX,  34, NEQ,  135,  129,   72,  112, 
AL, 99, 2024111218, 03, AC00, 174, 227N,  874W,  58,  983, XX,  50, NEQ,   67,   66,    0,    0, 
AL, 99, 2024111218, 03, AC00, 180, 237N,  871W,  55,  982, XX,  34, NEQ,  142,  142,  107,   97, 
AL, 99, 2024111218, 03, AC00, 180, 237N,  871W,  55,  982, XX,  50, NEQ,   70,   74,   55,    0, 
AL, 99, 2024111218, 03, AC00, 186, 249N,  857W,  65,  978, XX,  34, NEQ,  134,  150,  121,  105, 
AL, 99, 2024111218, 03, AC00, 186, 249N,  857W,  65,  978, XX,  50, NEQ,   72,   94,   72,   61, 
AL, 99, 2024111218, 03, AC00, 186, 249N,  857W,  65,  978, XX,  64, NEQ,    0,    0,    0,   47, 
AL, 99, 2024111218, 03, AC00, 192, 265N,  836W,  68,  974, XX,  34, NEQ,   96,  180,  185,  129, 
AL, 99, 2024111218, 03, AC00, 192, 265N,  836W,  68,  974, XX,  50, NEQ,   60,   91,   79,   62, 
AL, 99, 2024111218, 03, AC00, 192, 265N,  836W,  68,  974, XX,  64, NEQ,    0,   63,   67,   49, 
AL, 99, 2024111218, 03, AEMN,   0, 166N,  758W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,   6, 167N,  756W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  12, 169N,  759W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  18, 169N,  765W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  24, 170N,  774W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  30, 168N,  786W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  36, 167N,  801W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  42, 165N,  812W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  48, 164N,  820W,  27, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  54, 163N,  825W,  30, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  60, 162N,  830W,  32,  999, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  66, 161N,  831W,  37,  997, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  72, 159N,  830W,  40,  995, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  78, 158N,  827W,  41,  992, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  84, 157N,  825W,  45,  990, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  90, 155N,  823W,  46,  988, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN,  96, 153N,  820W,  48,  986, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 102, 152N,  816W,  53,  982, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 108, 151N,  814W,  53,  982, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 114, 153N,  813W,  57,  980, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 120, 155N,  814W,  57,  979, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 126, 158N,  813W,  59,  978, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 132, 162N,  818W,  58,  978, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 138, 168N,  824W,  56,  979, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 144, 176N,  830W,  56,  980, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 150, 186N,  831W,  60,  977, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 156, 197N,  836W,  60,  977, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 162, 207N,  840W,  59,  978, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 168, 216N,  843W,  56,  979, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 174, 224N,  838W,  56,  978, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 180, 231N,  835W,  56,  982, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 186, 240N,  829W,  54,  983, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AEMN, 192, 245N,  819W,  54,  984, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,   0, 169N,  765W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,   6, 170N,  749W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,  12, 174N,  750W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,  18, 173N,  754W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,  24, 172N,  757W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2024111218, 03, AP01,  30, 170N,  763W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
